OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSPOS,ADDRESSSTR,LATITUDE,LONGITUDE
11305,502A,PALM BREEZE @ YISHUN,761502,YISHUN STREET 51,1.4163921713408825,103.84136899699891
11306,11,BENDEMEER LIGHT,330011,BENDEMEER ROAD,1.3153196122419484,103.86026551794181
11307,10B,BENDEMEER LIGHT,332010,BENDEMEER ROAD,1.3154764927600964,103.86031259917287
11308,10C,BENDEMEER LIGHT,333010,BENDEMEER ROAD,1.3158416959676467,103.86064421317508
11309,537,HDB-WOODLANDS,730537,WOODLANDS DRIVE 16,1.4296571845629484,103.79258260269296
11310,238,,760238,YISHUN RING ROAD,1.4330504243878093,103.83924388513498
11311,296B,SKYLINE II @ BUKIT BATOK,652296,BUKIT BATOK STREET 22,1.3436931407374728,103.74735647133103
11312,445,HDB-TAMPINES,520445,TAMPINES STREET 42,1.35830174497372,103.95065807126683
11313,235,HDB-YISHUN,760235,YISHUN STREET 21,1.4343479383684803,103.83861375863269
11314,467A,WEST PLAINS @ BUKIT BATOK,651467,BUKIT BATOK WEST AVENUE 9,1.356517931888713,103.74386219857521
11315,463,WEST PLAINS @ BUKIT BATOK,650463,BUKIT BATOK STREET 41,1.3568348418284437,103.74144701742264
11316,463B,WEST PLAINS @ BUKIT BATOK,652463,BUKIT BATOK STREET 41,1.357048694975068,103.7423076229532
11317,424A,MULTI STOREY CAR PARK,751424,CANBERRA ROAD,1.4531904780877405,103.81906765891044
11318,613C,MULTI STOREY CAR PARK,473613,BEDOK RESERVOIR ROAD,1.3331102983870855,103.91758440010942
11319,351,MULTI STOREY CAR PARK,750351,CANBERRA ROAD,1.4511882399254519,103.82030477441297
11320,256,PUNGGOL OPAL,820256,SUMANG WALK,1.4055342296013082,103.89551417415788
11321,624,PUNGGOL SPECTRA,820624,PUNGGOL CENTRAL,1.400241482327259,103.9114790248196
11322,23A,MOUNT FABER VIEW,91023,TELOK BLANGAH CRESCENT,1.2757681678356432,103.82071125480724
11323,138,THE PEAK @ TOA PAYOH,310138,LORONG 1A TOA PAYOH,1.3366919799834698,103.84479577078493
11324,78B,CENTRAL HORIZON,312078,TOA PAYOH CENTRAL,1.3348944842534711,103.84856612585737
11325,616,PUNGGOL BREEZE,820616,PUNGGOL DRIVE,1.4020982359792737,103.91174374111749
11326,455,TECK GHEE PARKVIEW,560455,ANG MO KIO STREET 44,1.3686182347176192,103.85730072526796
11327,590,CHENG SAN COURT,560590,ANG MO KIO STREET 51,1.3714572590122203,103.85308397499197
11328,162,MULTI STOREY CAR PARK,820162,PUNGGOL CENTRAL,1.39613010895919,103.91428830089794
11329,650,MULTI STOREY CAR PARK,820650,PUNGGOL CENTRAL,1.3972728780982555,103.91526031217789
11330,301,CORALINUS,820301,PUNGGOL CENTRAL,1.403718726090395,103.90613767903758
11331,7A,MULTI STOREY CAR PARK,731007,MARSILING DRIVE,1.4416255714046213,103.77597314640617
11332,8A,MULTI STOREY CAR PARK,261008,EMPRESS ROAD,1.316710298300092,103.80618121983325
11333,419A,,761419,YISHUN AVENUE 11,1.424400460080547,103.84751962090277
11334,253A,MULTI STOREY CAR PARK,681253,CHOA CHU KANG AVENUE 1,1.3774084905335053,103.74394043319063
11335,93,TELOK BLANGAH PARCVIEW,100093,TELOK BLANGAH STREET 31,1.2748074794976743,103.80716976635475
11336,364,HOUGANG MEADOW,530364,UPPER SERANGOON ROAD,1.3700944865013385,103.89723318420214
11337,365,HOUGANG MEADOW,530365,UPPER SERANGOON ROAD,1.3695545371452702,103.89722947138578
11338,506,ANGSANA BREEZE @ YISHUN,760506,YISHUN AVENUE 4,1.414869943014614,103.84033774049873
11339,488A,SEGAR GROVE,671488,SEGAR ROAD,1.3898596020091916,103.77126244863422
11340,988,BUANGKOK VALE,530988,BUANGKOK GREEN,1.380019907058706,103.87767128342654
11341,463,SEMBAWANG RIVERLODGE,750463,SEMBAWANG DRIVE,1.45551141519401,103.81453995822127
11342,208B,CLEMENTI GATEWAY,122208,CLEMENTI AVENUE 6,1.322620718529895,103.76244911659957
11343,207,CLEMENTI GATEWAY,120207,CLEMENTI AVENUE 6,1.322311528175831,103.7623520341021
11344,208C,CLEMENTI GATEWAY,123208,CLEMENTI AVENUE 6,1.3219298452522341,103.762204088449
11345,105A,DEPOT HEIGHTS,101105,DEPOT ROAD,1.2810705066453638,103.81140539810863
11346,102A,DEPOT HEIGHTS,101102,DEPOT ROAD,1.2802906841456843,103.81333202573747
11347,175,KEBUN BARU LINK 1,560175,ANG MO KIO AVENUE 4,1.3757219779814138,103.83712301013227
11348,259,BUKIT PANJANG NEIGHBOURHOOD CENTRE,671259,BUKIT PANJANG RING ROAD,1.3772747780457184,103.77309648478935
11349,65,BLANGAH VIEW,100065,TELOK BLANGAH DRIVE,1.274061645687375,103.81042375138526
11350,82,MACPHERSON VIEW,360082,MACPHERSON LANE,1.3322826578553175,103.88561976842375
11351,466,WEST PLAINS @ BUKIT BATOK,650466,BUKIT BATOK WEST AVENUE 9,1.3571015081564473,103.74274320821031
11352,403,HDB-WOODLANDS,730403,WOODLANDS STREET 41,1.430707798461552,103.77226103233055
11353,736A,MULTI STOREY CAR PARK,511736,PASIR RIS DRIVE 10,1.3789617280974389,103.93724043321085
11354,134A,MULTI STOREY CAR PARK,161134,JALAN BUKIT MERAH,1.2792555359784363,103.82720902144395
11355,3A,MULTI STOREY CAR PARK,311003,LORONG 7 TOA PAYOH,1.3395243187505588,103.854480979323
11356,290A,MULTI STOREY CAR PARK,571290,BISHAN STREET 24,1.355613352522373,103.84459771835742
11357,22A,MULTI STOREY CAR PARK,571022,SIN MING ROAD,1.3574661242823127,103.83910647560712
11358,352A,MULTI STOREY CAR PARK,561352,ANG MO KIO STREET 32,1.3641051462487108,103.85093537455151
11359,316B,TECK GHEE VISTA,563316,ANG MO KIO STREET 31,1.3646247334445039,103.8476767092721
11360,116A,MULTI STOREY CAR PARK,461116,BEDOK NORTH ROAD,1.330994566470038,103.93724370885624
11361,212A,MULTI STOREY CAR PARK,641212,BOON LAY PLACE,1.348874822991547,103.71333360569089
11362,395A,MULTI STOREY CAR PARK,651395,BUKIT BATOK WEST AVENUE 5,1.3639375481125706,103.75189567196907
